'ArbNum', 'Date-4EST', 'Spread', 'Sym_1_Price', 'Sym_2_Price', 'Sym_1_UPnL', 'Sym_2_UPnL', 'Sym_1_RPnL', 'Sym_2_RPnL', 'Tot_UPnL', 'Tot_RPnL', 'Cointegrated', 'P_Value', 'T_Value', 'C_Value', 'Hedge_Ratio', 'Zero_Crossings', 'Z_Score', 'Correlation', 'SRSI', 'ADF'
5704,2022-09-28 15:16:06,-0.0362393,0.449,0.0227,-0.6326,2.7104,-0.171182,-0.187831,2.0778,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:16:14,-0.0362393,0.45,0.0228,-0.3163,2.0328,-0.171182,-0.187831,1.7165,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:16:30,-0.0393706,0.45,0.0228,-0.3163,2.0328,-0.171182,-0.187831,1.7165,-0.359012,1,0.04,-3.44,-3.35,21.4198,55.0,-3.97782,89.5617,-1,-2.8396
5704,2022-09-28 15:16:42,-0.0393706,0.45,0.0227,-0.3163,2.7104,-0.171182,-0.187831,2.3941,-0.359012,1,0.04,-3.44,-3.35,21.4198,55.0,-3.97782,89.5617,-1,-2.8396
5704,2022-09-28 15:17:06,-0.0383739,0.45,0.0227,-0.3163,2.7104,-0.171182,-0.187831,2.3941,-0.359012,1,0.04,-3.46,-3.35,21.4199,55.0,-3.95734,89.5948,-1,-2.86347
5704,2022-09-28 15:17:10,-0.0383739,0.45,0.0226,-0.3163,3.388,-0.171182,-0.187831,3.0717,-0.359012,1,0.04,-3.46,-3.35,21.4199,55.0,-3.95734,89.5948,-1,-2.86347
5704,2022-09-28 15:17:18,-0.0383739,0.45,0.0227,-0.3163,2.7104,-0.171182,-0.187831,2.3941,-0.359012,1,0.04,-3.46,-3.35,21.4199,55.0,-3.95734,89.5948,-1,-2.86347
5704,2022-09-28 15:17:22,-0.0383739,0.45,0.0226,-0.3163,3.388,-0.171182,-0.187831,3.0717,-0.359012,1,0.04,-3.46,-3.35,21.4199,55.0,-3.95734,89.5948,-1,-2.86347
5704,2022-09-28 15:17:42,-0.0362393,0.449,0.0226,-0.6326,3.388,-0.171182,-0.187831,2.7554,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:17:46,-0.0362393,0.449,0.0225,-0.6326,4.0656,-0.171182,-0.187831,3.433,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:17:50,-0.0362393,0.449,0.0226,-0.6326,3.388,-0.171182,-0.187831,2.7554,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:17:54,-0.0362393,0.449,0.0225,-0.6326,4.0656,-0.171182,-0.187831,3.433,-0.359012,1,0.03,-3.52,-3.35,21.4202,55.0,-3.90794,89.6835,-1,-2.91416
5704,2022-09-28 15:18:15,-0.0341046,0.449,0.0225,-0.6326,4.0656,-0.171182,-0.187831,3.433,-0.359012,1,0.03,-3.58,-3.35,21.4206,55.0,-3.84959,89.7666,-1,-2.96414
5704,2022-09-28 15:18:23,-0.0341046,0.449,0.0224,-0.6326,4.7432,-0.171182,-0.187831,4.1106,-0.359012,1,0.03,-3.58,-3.35,21.4206,55.0,-3.84959,89.7666,-1,-2.96414
5704,2022-09-28 15:18:39,-0.0341046,0.449,0.0226,-0.6326,3.388,-0.171182,-0.187831,2.7554,-0.359012,1,0.03,-3.58,-3.35,21.4206,55.0,-3.84959,89.7666,-1,-2.96414
5704,2022-09-28 15:18:48,-0.0341046,0.449,0.0223,-0.6326,5.4208,-0.171182,-0.187831,4.7882,-0.359012,1,0.03,-3.58,-3.35,21.4206,55.0,-3.84959,89.7666,-1,-2.96414
5704,2022-09-28 15:18:52,-0.0329666,0.449,0.0223,-0.6326,5.4208,-0.171182,-0.187831,4.7882,-0.359012,1,0.02,-3.61,-3.35,21.4207,55.0,-3.81412,89.8178,-1,-2.99045
