'ArbNum', 'Date-4EST', 'Spread', 'Sym_1_Price', 'Sym_2_Price', 'Sym_1_UPnL', 'Sym_2_UPnL', 'Sym_1_RPnL', 'Sym_2_RPnL', 'Tot_UPnL', 'Tot_RPnL', 'Cointegrated', 'P_Value', 'T_Value', 'C_Value', 'Hedge_Ratio', 'Zero_Crossings', 'Z_Score', 'Correlation', 'SRSI', 'ADF'
5807,2022-09-29 10:36:24,-0.0419741,0.473,1.76,0.0498,-0.145,-0.0282067,-0.03045,-0.0952,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:36:44,-0.0419741,0.472,1.76,0.0,-0.145,-0.0282067,-0.03045,-0.145,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:36:48,-0.0419741,0.473,1.76,0.0498,-0.145,-0.0282067,-0.03045,-0.0952,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:00,-0.0419741,0.473,1.77,0.0498,-0.29,-0.0282067,-0.03045,-0.2402,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:05,-0.0419741,0.473,1.78,0.0498,-0.435,-0.0282067,-0.03045,-0.3852,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:09,-0.0419741,0.473,1.77,0.0498,-0.29,-0.0282067,-0.03045,-0.2402,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:13,-0.0419741,0.473,1.78,0.0498,-0.435,-0.0282067,-0.03045,-0.3852,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:17,-0.0419741,0.472,1.77,0.0,-0.29,-0.0282067,-0.03045,-0.29,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:22,-0.0419741,0.473,1.77,0.0498,-0.29,-0.0282067,-0.03045,-0.2402,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:34,-0.0419741,0.472,1.76,0.0,-0.145,-0.0282067,-0.03045,-0.145,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:42,-0.0419741,0.473,1.76,0.0498,-0.145,-0.0282067,-0.03045,-0.0952,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:37:51,-0.0419741,0.472,1.75,0.0,-0.0,-0.0282067,-0.03045,0.0,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:38:19,-0.0419741,0.472,1.76,0.0,-0.145,-0.0282067,-0.03045,-0.145,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
5807,2022-09-29 10:38:23,-0.0419741,0.473,1.76,0.0498,-0.145,-0.0282067,-0.03045,-0.0952,-0.0586567,1,0.01,-4.03,-3.35,0.290381,59.0,-4.18579,90.8701,-1,-3.92439
