'ArbNum', 'Date-4EST', 'Spread', 'Sym_1_Price', 'Sym_2_Price', 'Sym_1_UPnL', 'Sym_2_UPnL', 'Sym_1_RPnL', 'Sym_2_RPnL', 'Tot_UPnL', 'Tot_RPnL', 'Cointegrated', 'P_Value', 'T_Value', 'C_Value', 'Hedge_Ratio', 'Zero_Crossings', 'Z_Score', 'Correlation', 'SRSI', 'ADF'
5971,2022-10-01 07:34:52,0.0199176,0.2915,2.389,-0.0,1.0863,-0.196658,-0.181885,1.0863,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.13757,62.8164,-1,-3.18339
5971,2022-10-01 07:34:57,0.020031,0.2915,2.388,-0.0,1.0224,-0.196658,-0.181885,1.0224,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.15178,62.8162,-1,-3.18237
5971,2022-10-01 07:35:02,0.020031,0.2915,2.386,-0.0,0.8946,-0.196658,-0.181885,0.8946,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.15178,62.8162,-1,-3.18237
5971,2022-10-01 07:35:07,0.0202578,0.2915,2.386,-0.0,0.8946,-0.196658,-0.181885,0.8946,-0.378543,1,0.02,-3.62,None,0.113681,31.0,3.17958,62.8157,-1,-3.18033
5971,2022-10-01 07:35:12,0.0203713,0.2915,2.385,-0.0,0.8307,-0.196658,-0.181885,0.8307,-0.378543,1,0.02,-3.62,None,0.113681,31.0,3.19318,62.8155,-1,-3.1793
5971,2022-10-01 07:35:22,0.020031,0.2915,2.388,-0.0,1.0224,-0.196658,-0.181885,1.0224,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.15178,62.8162,-1,-3.18237
5971,2022-10-01 07:35:27,0.0203713,0.2915,2.387,-0.0,0.9585,-0.196658,-0.181885,0.9585,-0.378543,1,0.02,-3.62,None,0.113681,31.0,3.19318,62.8155,-1,-3.1793
5971,2022-10-01 07:35:33,0.0196457,0.291,2.387,0.2811,0.9585,-0.196658,-0.181885,1.2396,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.10262,62.829,-1,-3.18581
5971,2022-10-01 07:35:38,0.0191921,0.291,2.391,0.2811,1.2141,-0.196658,-0.181885,1.4952,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.04155,62.8294,-1,-3.18979
5971,2022-10-01 07:35:43,0.0194189,0.291,2.389,0.2811,1.0863,-0.196658,-0.181885,1.3674,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.07253,62.8292,-1,-3.18781
5971,2022-10-01 07:35:48,0.0193055,0.291,2.392,0.2811,1.278,-0.196658,-0.181885,1.5591,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.05715,62.8293,-1,-3.18881
5971,2022-10-01 07:35:54,0.0191921,0.291,2.391,0.2811,1.2141,-0.196658,-0.181885,1.4952,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.04155,62.8294,-1,-3.18979
5971,2022-10-01 07:36:04,0.0188518,0.291,2.394,0.2811,1.4058,-0.196658,-0.181885,1.6869,-0.378543,1,0.02,-3.62,None,0.113679,31.0,2.99334,62.8297,-1,-3.19274
5971,2022-10-01 07:36:09,0.0188518,0.291,2.393,0.2811,1.3419,-0.196658,-0.181885,1.623,-0.378543,1,0.02,-3.62,None,0.113679,31.0,2.99334,62.8297,-1,-3.19274
5971,2022-10-01 07:36:14,0.0189652,0.291,2.393,0.2811,1.3419,-0.196658,-0.181885,1.623,-0.378543,1,0.02,-3.62,None,0.113679,31.0,3.00964,62.8296,-1,-3.19176
5971,2022-10-01 07:36:24,0.0188518,0.291,2.394,0.2811,1.4058,-0.196658,-0.181885,1.6869,-0.378543,1,0.02,-3.62,None,0.113679,31.0,2.99334,62.8297,-1,-3.19274
5971,2022-10-01 07:36:29,0.0191921,0.291,2.391,0.2811,1.2141,-0.196658,-0.181885,1.4952,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.04155,62.8294,-1,-3.18979
5971,2022-10-01 07:36:39,0.0193055,0.291,2.39,0.2811,1.1502,-0.196658,-0.181885,1.4313,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.05715,62.8293,-1,-3.18881
5971,2022-10-01 07:36:44,0.0195323,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.08769,62.8291,-1,-3.18681
5971,2022-10-01 07:36:55,0.0196457,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.10262,62.829,-1,-3.18581
5971,2022-10-01 07:37:00,0.0195323,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.08769,62.8291,-1,-3.18681
5971,2022-10-01 07:37:11,0.0193055,0.291,2.39,0.2811,1.1502,-0.196658,-0.181885,1.4313,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.05715,62.8293,-1,-3.18881
5971,2022-10-01 07:37:16,0.0195323,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.08769,62.8291,-1,-3.18681
5971,2022-10-01 07:37:21,0.0194189,0.291,2.39,0.2811,1.1502,-0.196658,-0.181885,1.4313,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.07253,62.8292,-1,-3.18781
5971,2022-10-01 07:37:26,0.0194189,0.291,2.389,0.2811,1.0863,-0.196658,-0.181885,1.3674,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.07253,62.8292,-1,-3.18781
5971,2022-10-01 07:37:31,0.0193055,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.05715,62.8293,-1,-3.18881
5971,2022-10-01 07:37:36,0.0195323,0.291,2.388,0.2811,1.0224,-0.196658,-0.181885,1.3035,-0.378543,1,0.02,-3.62,None,0.11368,31.0,3.08769,62.8291,-1,-3.18681
